## Summary for ULSE-n1, regularized=0.1 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999604413519 ± 0.001724321492
p0.45_q0.2 0.993891727969 ± 0.008869741306
p0.4_q0.2 0.970911768929 ± 0.019719915408
p0.35_q0.2 0.832831453307 ± 0.045101105327
p0.3_q0.2 0.444637608886 ± 0.076619058563
p0.25_q0.2 0.043904307661 ± 0.030829252401
p0.2_q0.2 0.004850347283 ± 0.002607707075
p0.1_q0.2 0.003389616984 ± 0.002054644435

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999748919297 ± 0.001094435411
p0.45_q0.2 0.996652051621 ± 0.004809388025
p0.4_q0.2 0.982334840093 ± 0.011898065559
p0.35_q0.2 0.889508666219 ± 0.033667663155
p0.3_q0.2 0.523721150532 ± 0.083080804187
p0.25_q0.2 0.046065397787 ± 0.037039937836
p0.2_q0.2 -0.001004944180 ± 0.004157659021
p0.1_q0.2 -0.002725745141 ± 0.002363307262

