## Summary for UASE, regularized=0 ##

### Metric: NMI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999604413519 ± 0.001724321492
p0.45_q0.2 0.996449603138 ± 0.005281982761
p0.4_q0.2 0.972295142396 ± 0.013592879415
p0.35_q0.2 0.824889425038 ± 0.032515318627
p0.3_q0.2 0.359081672772 ± 0.072338779348
p0.25_q0.2 0.017172399555 ± 0.010868807789
p0.2_q0.2 0.005275450908 ± 0.002126870312
p0.1_q0.2 0.626884301975 ± 0.060270411917

### Metric: ARI ###
p1.0_q0.2 1.000000000000 ± 0.000000000000
p0.9_q0.2 1.000000000000 ± 0.000000000000
p0.8_q0.2 1.000000000000 ± 0.000000000000
p0.7_q0.2 1.000000000000 ± 0.000000000000
p0.6_q0.2 1.000000000000 ± 0.000000000000
p0.55_q0.2 1.000000000000 ± 0.000000000000
p0.5_q0.2 0.999748919297 ± 0.001094435411
p0.45_q0.2 0.997783189012 ± 0.003306636176
p0.4_q0.2 0.982858163768 ± 0.008727473565
p0.35_q0.2 0.883446889469 ± 0.023349821515
p0.3_q0.2 0.414854411469 ± 0.083139038014
p0.25_q0.2 0.013274415758 ± 0.013265718306
p0.2_q0.2 -0.000677105016 ± 0.002865372737
p0.1_q0.2 0.711404735093 ± 0.054416408363

