## Evaluation for rep_type: ULSE-n1, regularized: 0.1, p: 0.55, q: 0.2 ##

### Metric: NMI ###
Run 0: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 8: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

### Metric: ARI ###
Run 0: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 1: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 2: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 8: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

