## Evaluation for rep_type: UASE, regularized: 0, p: 0.55, q: 0.2 ##

### Metric: NMI ###
Run 0: Time scores: [0.9749, 1.0000, 1.0000] | Average: 0.991644736137
Run 1: Time scores: [1.0000, 0.9205, 1.0000] | Average: 0.973486132637
Run 2: Time scores: [0.9748, 1.0000, 1.0000] | Average: 0.991611942612
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [0.9750, 0.8646, 1.0000] | Average: 0.946508192625
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 8: Time scores: [0.9749, 0.9205, 1.0000] | Average: 0.965130868774
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9500, 0.9205, 1.0000] | Average: 0.956806328976
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

### Metric: ARI ###
Run 0: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996236720042
Run 1: Time scores: [1.0000, 0.9657, 1.0000] | Average: 0.988552834417
Run 2: Time scores: [0.9887, 1.0000, 1.0000] | Average: 0.996246167746
Run 3: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 4: Time scores: [0.9888, 0.9329, 1.0000] | Average: 0.973893816635
Run 5: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 6: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 7: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 8: Time scores: [0.9887, 0.9657, 1.0000] | Average: 0.984789554460
Run 9: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 10: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 11: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 12: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 13: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 14: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 15: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 16: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 17: Time scores: [0.9774, 0.9657, 1.0000] | Average: 0.981017186706
Run 18: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000
Run 19: Time scores: [1.0000, 1.0000, 1.0000] | Average: 1.000000000000

