dataset,method,acc,nmi,ari,f1,num_nodes,num_clusters,num_time_steps
synthetic_1,OMNI,0.7799999999999999,0.44199573428219185,0.48914872460674985,0.774258751184016,600,2.3333333333333335,3
synthetic_1,tgn_50,0.51,0.022480979211357114,0.019148254800594414,0.49587454274336773,600,2.3333333333333335,3
synthetic_1,TemporalCut_fast_sparse_1_0,0.5566666666666666,0.050916353664973414,0.03897337630970788,0.5426536442261559,600,2.3333333333333335,3
synthetic_1,USE_ULSE-n2,0.9966666666666667,0.9774089336051631,0.9879977016060485,0.996516876895695,600,2.3333333333333335,3
synthetic_1,USE_UASE,0.9966666666666667,0.9842037975409044,0.990070041374973,0.9966423667722369,600,2.3333333333333335,3
synthetic_1,USE_ULSE-n1,1.0,1.0,1.0,1.0,600,2.3333333333333335,3
synthetic_1,dygformer_50,0.5,0.01111894976937402,0.007950597262842514,0.4795891759484765,600,2.3333333333333335,3
synthetic_1,TemporalCut_fast_normalized_1_0,0.5866666666666667,0.07815724815780238,0.07414161563444648,0.577746528257583,600,2.3333333333333335,3
synthetic_1,Node2Vec,0.695,0.26866600453210404,0.31339569350753677,0.6879913815202112,600,2.3333333333333335,3
synthetic_1,dyrep_50,0.49666666666666676,0.012491648223157388,0.008298963377043922,0.45972887627254416,600,2.3333333333333335,3
synthetic_1,jodie_50,0.5116666666666666,0.006911907061063816,0.008247114118726468,0.4749041000927368,600,2.3333333333333335,3
synthetic_2,USE_ULSE-n2,0.9833333333333334,0.9358171552578446,0.9641896430654556,0.9660491921904311,600,2.3333333333333335,3
synthetic_2,Node2Vec,0.63,0.16895586631456114,0.1982553893997173,0.5602476769730615,600,2.3333333333333335,3
synthetic_2,OMNI,0.765,0.4817260618676254,0.4630318785320455,0.7858399352498218,600,2.3333333333333335,3
synthetic_2,jodie_50,0.5316666666666666,0.003187440681317938,0.0010499696990524411,0.47640785938551605,600,2.3333333333333335,3
synthetic_2,dyrep_50,0.5216666666666667,0.057133309138002436,0.0424093165846699,0.48811494750802065,600,2.3333333333333335,3
synthetic_2,TemporalCut_fast_normalized_1_0,0.5633333333333334,0.07602254611313425,0.06603278908106737,0.5211475275573617,600,2.3333333333333335,3
synthetic_2,TemporalCut_fast_sparse_1_0,0.5083333333333333,0.007887904122376646,-0.0001183100546078052,0.4340792863449601,600,2.3333333333333335,3
synthetic_2,dygformer_50,0.47833333333333333,0.0036181735562467263,-0.005413850167903043,0.41888658460044165,600,2.3333333333333335,3
synthetic_2,USE_ULSE-n1,0.98,0.8644721601678408,0.9217903539277114,0.9489884438782573,600,2.3333333333333335,3
synthetic_2,USE_UASE,0.7716666666666666,0.5509521971501277,0.5422001285253527,0.6700564351064774,600,2.3333333333333335,3
synthetic_2,tgn_50,0.5750000000000001,0.10383190477107292,0.086140881152008,0.4966144650322965,600,2.3333333333333335,3
school,Node2Vec,0.9780564263322884,0.9645882259812217,0.9539999863151527,0.9765942642338771,319,9.0,1
school,USE_UASE,0.8526645768025078,0.8124731086123271,0.6550818942429651,0.8668787137287469,319,9.0,1
school,USE_ULSE-n2,0.9968652037617555,0.9934801614372941,0.9930600162608342,0.9968091168091168,319,9.0,1
school,jodie_50,0.19435736677115986,0.08892669239580178,0.02772379654991241,0.14818244087348076,319,9.0,1
school,dyrep_50,0.19435736677115986,0.0845048376729183,0.02044961252869056,0.15347464776379274,319,9.0,1
school,OMNI,0.4106583072100313,0.47168723867267826,0.2500421928264365,0.36018634706122377,319,9.0,1
school,tgn_50,0.21630094043887146,0.10786695811169063,0.023802442393722135,0.20188471298090008,319,9.0,1
school,TemporalCut_fast_sparse_1_0,0.20376175548589343,0.06575324368072098,0.010403526816172027,0.1939631863833313,319,9.0,1
school,TemporalCut_fast_normalized_1_0,0.2006269592476489,0.06622095906653054,0.010564699903030217,0.18762467940608085,319,9.0,1
school,USE_ULSE-n1,0.9937304075235109,0.9868201608010203,0.9854159762003037,0.9939236202394098,319,9.0,1
school,dygformer_50,0.1755485893416928,0.05629137004544676,0.005733288554656566,0.10940605002650716,319,9.0,1
brain,dygformer_50,0.1572,0.02835939077695124,0.01175272669559924,0.1398330267932427,5000,10.0,1
brain,dyrep_50,0.1792,0.06518151766578481,0.030808697742058366,0.15896326241583103,5000,10.0,1
brain,OMNI,0.2462,0.19581919585417168,0.08666289893060429,0.20064727232114027,5000,10.0,1
brain,TemporalCut_fast_sparse_1_0,0.1306,0.00446523168872229,0.0005755275208703036,0.11143020554866649,5000,10.0,1
brain,TemporalCut_fast_normalized_1_0,0.1294,0.0031565232137911138,-0.0002661484898192903,0.11128923231723375,5000,10.0,1
brain,USE_ULSE-n2,0.3582,0.282935951034557,0.1533821429977289,0.3622838065840149,5000,10.0,1
brain,USE_ULSE-n1,0.3764,0.29147128713251047,0.16373813049934444,0.3866294609197304,5000,10.0,1
brain,Node2Vec,0.3028,0.2200297192604587,0.10249674400381617,0.33347265181371,5000,10.0,1
