method,avg_acc,avg_nmi,avg_ari,avg_f1,num_datasets
OMNI,0.4816186638400878,0.3447599861317985,0.26265663546035384,0.4606715929867102,5
tgn_50,0.3370352480398126,0.07720733500922314,0.03873572406843843,0.2888996073536923,5
TemporalCut_fast_sparse_1_0,0.31488434150485256,0.036492817799235765,0.009932151671160712,0.2858198210550972,5
USE_ULSE-n2,0.7614974532223752,0.7201610275791478,0.6648443481020871,0.7637664702424709,5
USE_UASE,0.6762897498928757,0.6087756545397817,0.5088264608586426,0.6613561575389545,5
USE_ULSE-n1,0.772184354885997,0.7183120988152507,0.6662278802632737,0.7712415069988084,5
dygformer_50,0.29722837494267906,0.030717612193281556,0.004895646871769951,0.2573563719401283,5
TemporalCut_fast_normalized_1_0,0.3300581496432947,0.0590412213138126,0.0310433127757906,0.3120696935668229,5
Node2Vec,0.628125721717297,0.40972196630436003,0.37013068176389474,0.6189688805694823,5
dyrep_50,0.3181862934981169,0.059803517392328774,0.02292522305480668,0.281465342416997,5
jodie_50,0.3293455261120257,0.057585733385645876,0.01783670689576037,0.28802463619920304,5
